raceId,year,round,circuitId,driverId,constructorId,pit_stop_time,positionOrder,grid,points,laps,statusId
906,2014,7,7,20,9,23340.0,3,3,15.0,70,1
906,2014,7,7,20,9,23904.0,3,3,15.0,70,1
906,2014,7,7,154,208,23856.0,15,14,0.0,59,65
906,2014,7,7,154,208,23943.0,15,14,0.0,59,65
906,2014,7,7,807,10,23902.0,5,11,10.0,70,1
906,2014,7,7,815,10,23907.0,11,13,0.0,69,4
906,2014,7,7,817,9,23274.0,1,6,25.0,70,1
906,2014,7,7,817,9,23606.0,1,6,25.0,70,1
906,2014,7,7,818,5,23975.0,8,8,4.0,70,1
906,2014,7,7,818,5,24433.0,8,8,4.0,70,1
906,2014,7,7,821,15,24370.0,14,22,0.0,64,132
906,2014,7,7,821,15,24403.0,14,22,0.0,64,132
906,2014,7,7,821,15,24768.0,14,22,0.0,64,132
906,2014,7,7,822,3,23448.0,7,4,6.0,70,1
906,2014,7,7,822,3,24491.0,7,4,6.0,70,1
906,2014,7,7,825,1,23479.0,9,12,2.0,70,1
906,2014,7,7,825,1,23907.0,9,12,2.0,70,1
906,2014,7,7,826,5,25235.0,16,15,0.0,47,79
906,2014,7,7,826,5,25698.0,16,15,0.0,47,79
907,2014,8,70,1,131,22226.0,2,9,18.0,71,1
907,2014,8,70,1,131,22555.0,2,9,18.0,71,1
907,2014,8,70,3,131,21474.0,1,3,25.0,71,1
907,2014,8,70,3,131,21664.0,1,3,25.0,71,1
907,2014,8,70,4,6,21234.0,5,4,10.0,71,1
907,2014,8,70,4,6,21276.0,5,4,10.0,71,1
907,2014,8,70,8,6,21618.0,10,8,1.0,71,1
907,2014,8,70,8,6,21914.0,10,8,1.0,71,1
907,2014,8,70,13,3,21896.0,4,1,12.0,71,1
907,2014,8,70,13,3,22096.0,4,1,12.0,71,1
907,2014,8,70,16,15,22449.0,13,16,0.0,70,11
907,2014,8,70,16,15,22960.0,13,16,0.0,70,11
907,2014,8,70,18,1,21242.0,11,11,0.0,71,1
907,2014,8,70,18,1,21505.0,11,11,0.0,71,1
907,2014,8,70,20,9,21381.0,21,12,0.0,34,10
907,2014,8,70,20,9,29844.0,21,12,0.0,34,10
907,2014,8,70,154,208,21884.0,14,22,0.0,70,11
907,2014,8,70,154,208,24212.0,14,22,0.0,70,11
907,2014,8,70,155,207,22480.0,16,19,0.0,69,12
907,2014,8,70,807,10,21920.0,9,10,2.0,71,1
907,2014,8,70,807,10,22246.0,9,10,2.0,71,1
907,2014,8,70,813,208,22612.0,12,13,0.0,70,11
907,2014,8,70,813,208,23343.0,12,13,0.0,70,11
907,2014,8,70,815,10,21960.0,6,15,8.0,71,1
907,2014,8,70,815,10,23770.0,6,15,8.0,71,1
907,2014,8,70,817,9,21398.0,8,5,4.0,71,1
907,2014,8,70,817,9,21467.0,8,5,4.0,71,1
907,2014,8,70,818,5,22232.0,20,14,0.0,59,23
907,2014,8,70,818,5,22374.0,20,14,0.0,59,23
907,2014,8,70,820,206,22977.0,17,21,0.0,69,12
907,2014,8,70,821,15,22530.0,19,17,0.0,69,12
907,2014,8,70,821,15,29067.0,19,17,0.0,69,12
907,2014,8,70,821,15,55222.0,19,17,0.0,69,12
907,2014,8,70,822,3,21133.0,3,2,15.0,71,1
907,2014,8,70,822,3,22208.0,3,2,15.0,71,1
907,2014,8,70,824,206,24452.0,15,18,0.0,69,12
907,2014,8,70,825,1,21670.0,7,6,6.0,71,1
907,2014,8,70,825,1,21882.0,7,6,6.0,71,1
907,2014,8,70,826,5,21906.0,22,7,0.0,24,22
907,2014,8,70,828,207,23177.0,18,20,0.0,69,12
907,2014,8,70,828,207,25178.0,18,20,0.0,69,12
908,2014,9,9,1,131,29291.0,1,6,25.0,52,1
908,2014,9,9,1,131,29679.0,1,6,25.0,52,1
908,2014,9,9,3,131,28329.0,18,1,0.0,28,6
908,2014,9,9,4,6,34410.0,6,16,8.0,52,1
908,2014,9,9,16,15,29956.0,13,13,0.0,51,11
908,2014,9,9,18,1,28645.0,4,3,12.0,52,1
908,2014,9,9,20,9,28558.0,5,2,10.0,52,1
908,2014,9,9,20,9,28787.0,5,2,10.0,52,1
908,2014,9,9,154,208,29710.0,12,11,0.0,51,11
908,2014,9,9,155,207,29507.0,15,22,0.0,50,12
908,2014,9,9,155,207,29540.0,15,22,0.0,50,12
908,2014,9,9,807,10,29579.0,8,4,4.0,52,1
908,2014,9,9,813,208,28831.0,17,20,0.0,49,13
908,2014,9,9,815,10,29599.0,11,7,0.0,51,11
908,2014,9,9,817,9,28483.0,3,8,15.0,52,1
908,2014,9,9,818,5,30218.0,10,10,1.0,51,11
908,2014,9,9,820,206,23154.0,16,17,0.0,50,12
908,2014,9,9,820,206,29737.0,16,17,0.0,50,12
908,2014,9,9,822,3,29104.0,2,14,18.0,52,1
908,2014,9,9,824,206,30353.0,14,12,0.0,51,11
908,2014,9,9,825,1,28745.0,7,5,6.0,52,1
908,2014,9,9,826,5,28575.0,9,9,2.0,52,1
908,2014,9,9,826,5,28700.0,9,9,2.0,52,1
909,2014,10,10,1,131,19710.0,3,20,15.0,67,1
909,2014,10,10,1,131,19868.0,3,20,15.0,67,1
909,2014,10,10,1,131,19918.0,3,20,15.0,67,1
909,2014,10,10,3,131,20055.0,1,1,25.0,67,1
909,2014,10,10,3,131,20257.0,1,1,25.0,67,1
909,2014,10,10,4,6,19032.0,5,7,10.0,67,1
909,2014,10,10,4,6,19174.0,5,7,10.0,67,1
909,2014,10,10,4,6,19308.0,5,7,10.0,67,1
909,2014,10,10,8,6,19737.0,11,12,0.0,66,11
909,2014,10,10,8,6,19740.0,11,12,0.0,66,11
909,2014,10,10,8,6,19867.0,11,12,0.0,66,11
909,2014,10,10,16,15,19638.0,19,15,0.0,47,23
909,2014,10,10,16,15,20031.0,19,15,0.0,47,23
909,2014,10,10,16,15,20424.0,19,15,0.0,47,23
909,2014,10,10,18,1,18916.0,8,11,4.0,67,1
909,2014,10,10,18,1,19221.0,8,11,4.0,67,1
909,2014,10,10,18,1,22604.0,8,11,4.0,67,1
909,2014,10,10,20,9,18879.0,4,6,12.0,67,1
909,2014,10,10,20,9,19061.0,4,6,12.0,67,1
909,2014,10,10,20,9,19607.0,4,6,12.0,67,1
